HCPCSCode,ShortDescriptor,StatusIndicator,PaymentRate,Changed?,Source
"24136","Remove radius bone lesion","J1",2892.28,false,"2022-07"
"24138","Remove elbow bone lesion","J1",6397.05,false,"2022-07"
"24140","Partial removal of arm bone","J1",2892.28,false,"2022-07"
"24145","Partial removal of radius","J1",6397.05,false,"2022-07"
"24147","Partial removal of elbow","J1",2892.28,false,"2022-07"
"24149","Radical resection of elbow","J1",6397.05,false,"2022-07"
"24150","Resect distal humerus tumor","J1",6397.05,false,"2022-07"
"24152","Resect radius tumor","J1",6397.05,false,"2022-07"
"24155","Removal of elbow joint","J1",2892.28,false,"2022-07"
"24160","Remove elbow joint implant","Q2",2892.28,false,"2022-07"
"24164","Remove radius head implant","Q2",2892.28,false,"2022-07"
"24200","Removal of arm foreign body","J1",1436.99,false,"2022-07"
"24201","Removal of arm foreign body","J1",2421.55,false,"2022-07"
"24220","Injection for elbow x-ray","N",,false,"2022-07"
"24300","Manipulate elbow w/anesth","J1",1422.51,false,"2022-07"
"24301","Muscle/tendon transfer","J1",6397.05,false,"2022-07"
"24305","Arm tendon lengthening","J1",2892.28,false,"2022-07"
"24310","Revision of arm tendon","J1",2892.28,false,"2022-07"
"24320","Repair of arm tendon","J1",6397.05,false,"2022-07"
"24330","Revision of arm muscles","J1",6397.05,false,"2022-07"
"24331","Revision of arm muscles","J1",6397.05,false,"2022-07"
"24332","Tenolysis triceps","J1",2892.28,false,"2022-07"
"24340","Repair of biceps tendon","J1",6397.05,false,"2022-07"
"24341","Repair arm tendon/muscle","J1",6397.05,false,"2022-07"
"24342","Repair of ruptured tendon","J1",6397.05,false,"2022-07"
"24343","Repr elbow lat ligmnt w/tiss","J1",2892.28,false,"2022-07"
"24344","Reconstruct elbow lat ligmnt","J1",6397.05,false,"2022-07"
"24345","Repr elbw med ligmnt w/tissu","J1",6397.05,false,"2022-07"
"24346","Reconstruct elbow med ligmnt","J1",12593.29,false,"2022-07"
"24357","Repair elbow perc","J1",2892.28,false,"2022-07"
"24358","Repair elbow w/deb open","J1",2892.28,false,"2022-07"
"24359","Repair elbow deb/attch open","J1",2892.28,false,"2022-07"
"24360","Reconstruct elbow joint","J1",6397.05,false,"2022-07"
"24361","Reconstruct elbow joint","J1",16513.36,false,"2022-07"
"24362","Reconstruct elbow joint","J1",12593.29,false,"2022-07"
"24363","Replace elbow joint","J1",16513.36,false,"2022-07"
"24365","Reconstruct head of radius","J1",12593.29,false,"2022-07"
"24366","Reconstruct head of radius","J1",12593.29,false,"2022-07"
"24370","Revise reconst elbow joint","J1",12593.29,false,"2022-07"
"24371","Revise reconst elbow joint","J1",16513.36,false,"2022-07"
"24400","Revision of humerus","J1",6397.05,false,"2022-07"
"24410","Revision of humerus","J1",12593.29,false,"2022-07"
"24420","Revision of humerus","J1",6397.05,false,"2022-07"
"24430","Repair of humerus","J1",12593.29,false,"2022-07"
"24435","Repair humerus with graft","J1",12593.29,false,"2022-07"
"24470","Revision of elbow joint","J1",2892.28,false,"2022-07"
"24495","Decompression of forearm","J1",6397.05,false,"2022-07"
"24498","Reinforce humerus","J1",12593.29,false,"2022-07"
"24500","Treat humerus fracture","T",210.5,false,"2022-07"
"24505","Treat humerus fracture","J1",1422.51,false,"2022-07"
"24515","Treat humerus fracture","J1",12593.29,false,"2022-07"
"24516","Treat humerus fracture","J1",12593.29,false,"2022-07"
"24530","Treat humerus fracture","T",210.5,false,"2022-07"
"24535","Treat humerus fracture","J1",1422.51,false,"2022-07"
"24538","Treat humerus fracture","J1",6397.05,false,"2022-07"
"24545","Treat humerus fracture","J1",12593.29,false,"2022-07"
"24546","Treat humerus fracture","J1",16513.36,false,"2022-07"
"24560","Treat humerus fracture","T",210.5,false,"2022-07"
"24565","Treat humerus fracture","J1",1422.51,false,"2022-07"
"24566","Treat humerus fracture","J1",1422.51,false,"2022-07"
"24575","Treat humerus fracture","J1",12593.29,false,"2022-07"
"24576","Treat humerus fracture","T",210.5,false,"2022-07"
"24577","Treat humerus fracture","J1",1422.51,false,"2022-07"
"24579","Treat humerus fracture","J1",12593.29,false,"2022-07"
"24582","Treat humerus fracture","J1",6397.05,false,"2022-07"
"24586","Treat elbow fracture","J1",12593.29,false,"2022-07"
"24587","Treat elbow fracture","J1",12593.29,false,"2022-07"
"24600","Treat elbow dislocation","T",210.5,false,"2022-07"
"24605","Treat elbow dislocation","J1",1422.51,false,"2022-07"
"24615","Treat elbow dislocation","J1",6397.05,false,"2022-07"
"24620","Treat elbow fracture","J1",1422.51,false,"2022-07"
"24635","Treat elbow fracture","J1",6397.05,false,"2022-07"
"24640","Treat elbow dislocation","T",210.5,false,"2022-07"
"24650","Treat radius fracture","T",210.5,false,"2022-07"
"24655","Treat radius fracture","J1",1422.51,false,"2022-07"
"24665","Treat radius fracture","J1",6397.05,false,"2022-07"
"24666","Treat radius fracture","J1",12593.29,false,"2022-07"
"24670","Treat ulnar fracture","T",210.5,false,"2022-07"
"24675","Treat ulnar fracture","J1",1422.51,false,"2022-07"
"24685","Treat ulnar fracture","J1",6397.05,false,"2022-07"
"24800","Fusion of elbow joint","J1",6397.05,false,"2022-07"
"24802","Fusion/graft of elbow joint","J1",12593.29,false,"2022-07"
"24900","Amputation of upper arm","C",,false,"2022-07"
"24920","Amputation of upper arm","C",,false,"2022-07"
"24925","Amputation follow-up surgery","J1",2892.28,false,"2022-07"
"24930","Amputation follow-up surgery","C",,false,"2022-07"
"24931","Amputate upper arm & implant","C",,false,"2022-07"
"24935","Revision of amputation","J1",6397.05,false,"2022-07"
"24940","Revision of upper arm","C",,false,"2022-07"
"24999","Upper arm/elbow surgery","T",210.5,false,"2022-07"
"25000","Incision of tendon sheath","J1",1422.51,false,"2022-07"
"25001","Incise flexor carpi radialis","J1",2892.28,false,"2022-07"
"25020","Decompress forearm 1 space","J1",1422.51,false,"2022-07"
"25023","Decompress forearm 1 space","J1",2892.28,false,"2022-07"
"25024","Decompress forearm 2 spaces","J1",2892.28,false,"2022-07"
"25025","Decompress forearm 2 spaces","J1",1422.51,false,"2022-07"
"25028","Drainage of forearm lesion","J1",2892.28,false,"2022-07"
"25031","Drainage of forearm bursa","J1",1422.51,false,"2022-07"
"25035","Treat forearm bone lesion","J1",6397.05,false,"2022-07"
"25040","Explore/treat wrist joint","J1",2892.28,false,"2022-07"
"25065","Biopsy forearm soft tissues","J1",1436.99,false,"2022-07"
"25066","Biopsy forearm soft tissues","J1",2421.55,false,"2022-07"
"25071","Exc forearm les sc 3 cm/>","J1",1436.99,false,"2022-07"
"25073","Exc forearm tum deep 3 cm/>","J1",2421.55,false,"2022-07"
"25075","Exc forearm les sc < 3 cm","J1",1436.99,false,"2022-07"
"25076","Exc forearm tum deep < 3 cm","J1",1436.99,false,"2022-07"
"25077","Resect forearm/wrist tum<3cm","J1",2421.55,false,"2022-07"
"25078","Resect forarm/wrist tum 3cm>","J1",2421.55,false,"2022-07"
"25085","Incision of wrist capsule","J1",2892.28,false,"2022-07"
"25100","Biopsy of wrist joint","J1",2892.28,false,"2022-07"
"25101","Explore/treat wrist joint","J1",2892.28,false,"2022-07"
"25105","Remove wrist joint lining","J1",2892.28,false,"2022-07"
"25107","Remove wrist joint cartilage","J1",2892.28,false,"2022-07"
"25109","Excise tendon forearm/wrist","J1",2892.28,false,"2022-07"
"25110","Remove wrist tendon lesion","J1",1422.51,false,"2022-07"
"25111","Remove wrist tendon lesion","J1",1422.51,false,"2022-07"
"25112","Reremove wrist tendon lesion","J1",1422.51,false,"2022-07"
"25115","Remove wrist/forearm lesion","J1",1422.51,false,"2022-07"
"25116","Remove wrist/forearm lesion","J1",2892.28,false,"2022-07"
"25118","Excise wrist tendon sheath","J1",1422.51,false,"2022-07"
"25119","Partial removal of ulna","J1",2892.28,false,"2022-07"
"25120","Removal of forearm lesion","J1",2892.28,false,"2022-07"
"25125","Remove/graft forearm lesion","J1",1422.51,false,"2022-07"
"25126","Remove/graft forearm lesion","J1",2892.28,false,"2022-07"
"25130","Removal of wrist lesion","J1",2892.28,false,"2022-07"
"25135","Remove & graft wrist lesion","J1",6397.05,false,"2022-07"
"25136","Remove & graft wrist lesion","J1",6397.05,false,"2022-07"
"25145","Remove forearm bone lesion","J1",2892.28,false,"2022-07"
"25150","Partial removal of ulna","J1",2892.28,false,"2022-07"
"25151","Partial removal of radius","J1",2892.28,false,"2022-07"
"25170","Resect radius/ulnar tumor","J1",6397.05,false,"2022-07"
"25210","Removal of wrist bone","J1",2892.28,false,"2022-07"
"25215","Removal of wrist bones","J1",2892.28,false,"2022-07"
"25230","Partial removal of radius","J1",2892.28,false,"2022-07"
"25240","Partial removal of ulna","J1",2892.28,false,"2022-07"
"25246","Injection for wrist x-ray","N",,false,"2022-07"
"25248","Remove forearm foreign body","J1",1422.51,false,"2022-07"
"25250","Removal of wrist prosthesis","Q2",1422.51,false,"2022-07"
"25251","Removal of wrist prosthesis","Q2",2892.28,false,"2022-07"
"25259","Manipulate wrist w/anesthes","J1",1422.51,false,"2022-07"
"25260","Repair forearm tendon/muscle","J1",2892.28,false,"2022-07"
"25263","Repair forearm tendon/muscle","J1",6397.05,false,"2022-07"
"25265","Repair forearm tendon/muscle","J1",2892.28,false,"2022-07"
"25270","Repair forearm tendon/muscle","J1",2892.28,false,"2022-07"
"25272","Repair forearm tendon/muscle","J1",2892.28,false,"2022-07"
"25274","Repair forearm tendon/muscle","J1",2892.28,false,"2022-07"
"25275","Repair forearm tendon sheath","J1",2892.28,false,"2022-07"
"25280","Revise wrist/forearm tendon","J1",2892.28,false,"2022-07"
"25290","Incise wrist/forearm tendon","J1",2892.28,false,"2022-07"
"25295","Release wrist/forearm tendon","J1",2892.28,false,"2022-07"
"25300","Fusion of tendons at wrist","J1",2892.28,false,"2022-07"
"25301","Fusion of tendons at wrist","J1",2892.28,false,"2022-07"
"25310","Transplant forearm tendon","J1",2892.28,false,"2022-07"
"25312","Transplant forearm tendon","J1",2892.28,false,"2022-07"
"25315","Revise palsy hand tendon(s)","J1",6397.05,false,"2022-07"
"25316","Revise palsy hand tendon(s)","J1",6397.05,false,"2022-07"
"25320","Repair/revise wrist joint","J1",6397.05,false,"2022-07"
"25332","Revise wrist joint","J1",2892.28,false,"2022-07"
"25335","Realignment of hand","J1",2892.28,false,"2022-07"
"25337","Reconstruct ulna/radioulnar","J1",6397.05,false,"2022-07"
"25350","Revision of radius","J1",6397.05,false,"2022-07"
"25355","Revision of radius","J1",2892.28,false,"2022-07"
"25360","Revision of ulna","J1",6397.05,false,"2022-07"
"25365","Revise radius & ulna","J1",12593.29,false,"2022-07"
"25370","Revise radius or ulna","J1",2892.28,false,"2022-07"
"25375","Revise radius & ulna","J1",2892.28,false,"2022-07"
"25390","Shorten radius or ulna","J1",6397.05,false,"2022-07"
"25391","Lengthen radius or ulna","J1",12593.29,false,"2022-07"
"25392","Shorten radius & ulna","J1",6397.05,false,"2022-07"
"25393","Lengthen radius & ulna","J1",6397.05,false,"2022-07"
"25394","Repair carpal bone shorten","J1",2892.28,false,"2022-07"
"25400","Repair radius or ulna","J1",6397.05,false,"2022-07"
"25405","Repair/graft radius or ulna","J1",6397.05,false,"2022-07"
"25415","Repair radius & ulna","J1",6397.05,false,"2022-07"
"25420","Repair/graft radius & ulna","J1",6397.05,false,"2022-07"
"25425","Repair/graft radius or ulna","J1",6397.05,false,"2022-07"
"25426","Repair/graft radius & ulna","J1",2892.28,false,"2022-07"
"25430","Vasc graft into carpal bone","J1",2892.28,false,"2022-07"
"25431","Repair nonunion carpal bone","J1",6397.05,false,"2022-07"
"25440","Repair/graft wrist bone","J1",6397.05,false,"2022-07"
"25441","Reconstruct wrist joint","J1",12593.29,false,"2022-07"
"25442","Reconstruct wrist joint","J1",16513.36,false,"2022-07"
"25443","Reconstruct wrist joint","J1",6397.05,false,"2022-07"
"25444","Reconstruct wrist joint","J1",12593.29,false,"2022-07"
"25445","Reconstruct wrist joint","J1",6397.05,false,"2022-07"
"25446","Wrist replacement","J1",16513.36,false,"2022-07"
"25447","Repair wrist joints","J1",2892.28,false,"2022-07"
"25449","Remove wrist joint implant","J1",6397.05,false,"2022-07"
"25450","Revision of wrist joint","J1",2892.28,false,"2022-07"
"25455","Revision of wrist joint","J1",2892.28,false,"2022-07"
"25490","Reinforce radius","J1",6397.05,false,"2022-07"
"25491","Reinforce ulna","J1",12593.29,false,"2022-07"
"25492","Reinforce radius and ulna","J1",2892.28,false,"2022-07"
"25500","Treat fracture of radius","T",210.5,false,"2022-07"
"25505","Treat fracture of radius","J1",1422.51,false,"2022-07"
"25515","Treat fracture of radius","J1",6397.05,false,"2022-07"
"25520","Treat fracture of radius","J1",1422.51,false,"2022-07"
"25525","Treat fracture of radius","J1",6397.05,false,"2022-07"
"25526","Treat fracture of radius","J1",6397.05,false,"2022-07"
"25530","Treat fracture of ulna","T",210.5,false,"2022-07"
"25535","Treat fracture of ulna","T",210.5,false,"2022-07"
"25545","Treat fracture of ulna","J1",6397.05,false,"2022-07"
"25560","Treat fracture radius & ulna","T",210.5,false,"2022-07"
"25565","Treat fracture radius & ulna","J1",1422.51,false,"2022-07"
"25574","Treat fracture radius & ulna","J1",6397.05,false,"2022-07"
"25575","Treat fracture radius/ulna","J1",6397.05,false,"2022-07"
"25600","Treat fracture radius/ulna","T",210.5,false,"2022-07"
"25605","Treat fracture radius/ulna","J1",1422.51,false,"2022-07"
"25606","Treat fx distal radial","J1",2892.28,false,"2022-07"
"25607","Treat fx rad extra-articul","J1",6397.05,false,"2022-07"
"25608","Treat fx rad intra-articul","J1",6397.05,false,"2022-07"
"25609","Treat fx radial 3+ frag","J1",6397.05,false,"2022-07"
"25622","Treat wrist bone fracture","T",210.5,false,"2022-07"
"25624","Treat wrist bone fracture","J1",1422.51,false,"2022-07"
"25628","Treat wrist bone fracture","J1",6397.05,false,"2022-07"
"25630","Treat wrist bone fracture","T",210.5,false,"2022-07"
"25635","Treat wrist bone fracture","J1",1422.51,false,"2022-07"
"25645","Treat wrist bone fracture","J1",2892.28,false,"2022-07"
"25650","Treat wrist bone fracture","T",210.5,false,"2022-07"
"25651","Pin ulnar styloid fracture","J1",2892.28,false,"2022-07"
"25652","Treat fracture ulnar styloid","J1",6397.05,false,"2022-07"
"25660","Treat wrist dislocation","T",210.5,false,"2022-07"
"25670","Treat wrist dislocation","J1",6397.05,false,"2022-07"
"25671","Pin radioulnar dislocation","J1",2892.28,false,"2022-07"
"25675","Treat wrist dislocation","T",210.5,false,"2022-07"
"25676","Treat wrist dislocation","J1",6397.05,false,"2022-07"
"25680","Treat wrist fracture","T",210.5,false,"2022-07"
"25685","Treat wrist fracture","J1",6397.05,false,"2022-07"
"25690","Treat wrist dislocation","J1",1422.51,false,"2022-07"
"25695","Treat wrist dislocation","J1",6397.05,false,"2022-07"
"25800","Fusion of wrist joint","J1",6397.05,false,"2022-07"
"25805","Fusion/graft of wrist joint","J1",6397.05,false,"2022-07"
"25810","Fusion/graft of wrist joint","J1",12593.29,false,"2022-07"
"25820","Fusion of hand bones","J1",6397.05,false,"2022-07"
"25825","Fuse hand bones with graft","J1",6397.05,false,"2022-07"
"25830","Fusion radioulnar jnt/ulna","J1",6397.05,false,"2022-07"
"25900","Amputation of forearm","C",,false,"2022-07"
"25905","Amputation of forearm","C",,false,"2022-07"
"25907","Amputation follow-up surgery","J1",2892.28,false,"2022-07"
"25909","Amputation follow-up surgery","J1",6397.05,false,"2022-07"
"25915","Amputation of forearm","C",,false,"2022-07"
"25920","Amputate hand at wrist","C",,false,"2022-07"
"25922","Amputate hand at wrist","J1",1422.51,false,"2022-07"
"25924","Amputation follow-up surgery","C",,false,"2022-07"
"25927","Amputation of hand","C",,false,"2022-07"
"25929","Amputation follow-up surgery","T",1749.26,false,"2022-07"
"25931","Amputation follow-up surgery","J1",2892.28,false,"2022-07"
"25999","Forearm or wrist surgery","T",210.5,false,"2022-07"
"26010","Drainage of finger abscess","T",183.4,false,"2022-07"
"26011","Drainage of finger abscess","J1",1436.99,false,"2022-07"
"26020","Drain hand tendon sheath","J1",2892.28,false,"2022-07"
"26025","Drainage of palm bursa","J1",2892.28,false,"2022-07"
"26030","Drainage of palm bursas","J1",2892.28,false,"2022-07"
"26034","Treat hand bone lesion","J1",1422.51,false,"2022-07"
"26035","Decompress fingers/hand","J1",2892.28,false,"2022-07"
"26037","Decompress fingers/hand","J1",2892.28,false,"2022-07"
"26040","Release palm contracture","J1",1422.51,false,"2022-07"
"26045","Release palm contracture","J1",2892.28,false,"2022-07"
"26055","Incise finger tendon sheath","J1",1422.51,false,"2022-07"
"26060","Incision of finger tendon","J1",1422.51,false,"2022-07"
"26070","Explore/treat hand joint","J1",1422.51,false,"2022-07"
"26075","Explore/treat finger joint","J1",2892.28,false,"2022-07"
"26080","Explore/treat finger joint","J1",1422.51,false,"2022-07"
"26100","Biopsy hand joint lining","J1",2892.28,false,"2022-07"
"26105","Biopsy finger joint lining","J1",2892.28,false,"2022-07"
"26110","Biopsy finger joint lining","J1",1422.51,false,"2022-07"
"26111","Exc hand les sc 1.5 cm/>","J1",1436.99,false,"2022-07"
"26113","Exc hand tum deep 1.5 cm/>","J1",1436.99,false,"2022-07"
"26115","Exc hand les sc < 1.5 cm","J1",1436.99,false,"2022-07"
"26116","Exc hand tum deep < 1.5 cm","J1",1436.99,false,"2022-07"
"26117","Rad resect hand tumor < 3 cm","J1",2421.55,false,"2022-07"
"26118","Rad resect hand tumor 3 cm/>","J1",2421.55,false,"2022-07"
"26121","Release palm contracture","J1",2892.28,false,"2022-07"
"26123","Release palm contracture","J1",2892.28,false,"2022-07"
"26125","Release palm contracture","N",,false,"2022-07"
"26130","Remove wrist joint lining","J1",2892.28,false,"2022-07"
"26135","Revise finger joint each","J1",2892.28,false,"2022-07"
"26140","Revise finger joint each","J1",1422.51,false,"2022-07"
"26145","Tendon excision palm/finger","J1",1422.51,false,"2022-07"
"26160","Remove tendon sheath lesion","J1",1422.51,false,"2022-07"
"26170","Removal of palm tendon each","J1",1422.51,false,"2022-07"
"26180","Removal of finger tendon","J1",1422.51,false,"2022-07"
"26185","Remove finger bone","J1",1422.51,false,"2022-07"
"26200","Remove hand bone lesion","J1",1422.51,false,"2022-07"
"26205","Remove/graft bone lesion","J1",6397.05,false,"2022-07"
"26210","Removal of finger lesion","J1",1422.51,false,"2022-07"
"26215","Remove/graft finger lesion","J1",2892.28,false,"2022-07"
"26230","Partial removal of hand bone","J1",2892.28,false,"2022-07"
"26235","Partial removal finger bone","J1",1422.51,false,"2022-07"
"26236","Partial removal finger bone","J1",1422.51,false,"2022-07"
"26250","Extensive hand surgery","J1",2892.28,false,"2022-07"
"26260","Resect prox finger tumor","J1",2892.28,false,"2022-07"
"26262","Resect distal finger tumor","J1",1422.51,false,"2022-07"
"26320","Removal of implant from hand","Q2",1436.99,false,"2022-07"
"26340","Manipulate finger w/anesth","J1",1422.51,false,"2022-07"
"26341","Manipulat palm cord post inj","T",210.5,false,"2022-07"
"26350","Repair finger/hand tendon","J1",2892.28,false,"2022-07"
"26352","Repair/graft hand tendon","J1",6397.05,false,"2022-07"
"26356","Repair finger/hand tendon","J1",2892.28,false,"2022-07"
"26357","Repair finger/hand tendon","J1",2892.28,false,"2022-07"
"26358","Repair/graft hand tendon","J1",6397.05,false,"2022-07"
"26370","Repair finger/hand tendon","J1",2892.28,false,"2022-07"
"26372","Repair/graft hand tendon","J1",6397.05,false,"2022-07"
"26373","Repair finger/hand tendon","J1",2892.28,false,"2022-07"
"26390","Revise hand/finger tendon","J1",6397.05,false,"2022-07"
"26392","Repair/graft hand tendon","J1",6397.05,false,"2022-07"
"26410","Repair hand tendon","J1",1422.51,false,"2022-07"
"26412","Repair/graft hand tendon","J1",2892.28,false,"2022-07"
"26415","Excision hand/finger tendon","J1",2892.28,false,"2022-07"
"26416","Graft hand or finger tendon","J1",2892.28,false,"2022-07"
"26418","Repair finger tendon","J1",1422.51,false,"2022-07"
"26420","Repair/graft finger tendon","J1",2892.28,false,"2022-07"
"26426","Repair finger/hand tendon","J1",2892.28,false,"2022-07"
"26428","Repair/graft finger tendon","J1",2892.28,false,"2022-07"
"26432","Repair finger tendon","J1",1422.51,false,"2022-07"
"26433","Repair finger tendon","J1",2892.28,false,"2022-07"
"26434","Repair/graft finger tendon","J1",2892.28,false,"2022-07"
"26437","Realignment of tendons","J1",2892.28,false,"2022-07"
"26440","Release palm/finger tendon","J1",1422.51,false,"2022-07"
"26442","Release palm & finger tendon","J1",2892.28,false,"2022-07"
"26445","Release hand/finger tendon","J1",2892.28,false,"2022-07"
"26449","Release forearm/hand tendon","J1",2892.28,false,"2022-07"
"26450","Incision of palm tendon","J1",2892.28,false,"2022-07"
"26455","Incision of finger tendon","J1",1422.51,false,"2022-07"
"26460","Incise hand/finger tendon","J1",1422.51,false,"2022-07"
"26471","Fusion of finger tendons","J1",2892.28,false,"2022-07"
"26474","Fusion of finger tendons","J1",1422.51,false,"2022-07"
"26476","Tendon lengthening","J1",2892.28,false,"2022-07"
"26477","Tendon shortening","J1",2892.28,false,"2022-07"
"26478","Lengthening of hand tendon","J1",2892.28,false,"2022-07"
"26479","Shortening of hand tendon","J1",2892.28,false,"2022-07"
"26480","Transplant hand tendon","J1",2892.28,false,"2022-07"
"26483","Transplant/graft hand tendon","J1",2892.28,false,"2022-07"
"26485","Transplant palm tendon","J1",2892.28,false,"2022-07"
"26489","Transplant/graft palm tendon","J1",2892.28,false,"2022-07"
"26490","Revise thumb tendon","J1",2892.28,false,"2022-07"
"26492","Tendon transfer with graft","J1",2892.28,false,"2022-07"
"26494","Hand tendon/muscle transfer","J1",2892.28,false,"2022-07"
"26496","Revise thumb tendon","J1",2892.28,false,"2022-07"
"26497","Finger tendon transfer","J1",2892.28,false,"2022-07"
"26498","Finger tendon transfer","J1",2892.28,false,"2022-07"
"26499","Revision of finger","J1",2892.28,false,"2022-07"
"26500","Hand tendon reconstruction","J1",6397.05,false,"2022-07"
"26502","Hand tendon reconstruction","J1",2892.28,false,"2022-07"
"26508","Release thumb contracture","J1",2892.28,false,"2022-07"
"26510","Thumb tendon transfer","J1",2892.28,false,"2022-07"
"26516","Fusion of knuckle joint","J1",2892.28,false,"2022-07"
"26517","Fusion of knuckle joints","J1",2892.28,false,"2022-07"
"26518","Fusion of knuckle joints","J1",6397.05,false,"2022-07"
"26520","Release knuckle contracture","J1",2892.28,false,"2022-07"
"26525","Release finger contracture","J1",1422.51,false,"2022-07"
"26530","Revise knuckle joint","J1",6397.05,false,"2022-07"
"26531","Revise knuckle with implant","J1",6397.05,false,"2022-07"
"26535","Revise finger joint","J1",2892.28,false,"2022-07"
"26536","Revise/implant finger joint","J1",6397.05,false,"2022-07"
"26540","Repair hand joint","J1",2892.28,false,"2022-07"
"26541","Repair hand joint with graft","J1",2892.28,false,"2022-07"
"26542","Repair hand joint with graft","J1",2892.28,false,"2022-07"
"26545","Reconstruct finger joint","J1",2892.28,false,"2022-07"
"26546","Repair nonunion hand","J1",6397.05,false,"2022-07"
"26548","Reconstruct finger joint","J1",2892.28,false,"2022-07"
"26550","Construct thumb replacement","J1",2892.28,false,"2022-07"
"26551","Great toe-hand transfer","C",,false,"2022-07"
"26553","Single transfer toe-hand","C",,false,"2022-07"
"26554","Double transfer toe-hand","C",,false,"2022-07"
"26555","Positional change of finger","J1",6397.05,false,"2022-07"
"26556","Toe joint transfer","C",,false,"2022-07"
"26560","Repair of web finger","J1",1422.51,false,"2022-07"
"26561","Repair of web finger","J1",2892.28,false,"2022-07"
"26562","Repair of web finger","J1",2892.28,false,"2022-07"
"26565","Correct metacarpal flaw","J1",2892.28,false,"2022-07"
"26567","Correct finger deformity","J1",2892.28,false,"2022-07"
"26568","Lengthen metacarpal/finger","J1",6397.05,false,"2022-07"
"26580","Repair hand deformity","J1",2892.28,false,"2022-07"
"26587","Reconstruct extra finger","J1",2892.28,false,"2022-07"
"26590","Repair finger deformity","J1",1422.51,false,"2022-07"
"26591","Repair muscles of hand","J1",2892.28,false,"2022-07"
"26593","Release muscles of hand","J1",2892.28,false,"2022-07"
"26596","Excision constricting tissue","J1",2892.28,false,"2022-07"
"26600","Treat metacarpal fracture","T",210.5,false,"2022-07"
"26605","Treat metacarpal fracture","T",210.5,false,"2022-07"
"26607","Treat metacarpal fracture","J1",2892.28,false,"2022-07"
"26608","Treat metacarpal fracture","J1",2892.28,false,"2022-07"
"26615","Treat metacarpal fracture","J1",2892.28,false,"2022-07"
"26641","Treat thumb dislocation","T",210.5,false,"2022-07"
"26645","Treat thumb fracture","J1",1422.51,false,"2022-07"
"26650","Treat thumb fracture","J1",2892.28,false,"2022-07"
"26665","Treat thumb fracture","J1",2892.28,false,"2022-07"
"26670","Treat hand dislocation","T",210.5,false,"2022-07"
"26675","Treat hand dislocation","J1",1422.51,false,"2022-07"
"26676","Pin hand dislocation","J1",2892.28,false,"2022-07"
"26685","Treat hand dislocation","J1",2892.28,false,"2022-07"
"26686","Treat hand dislocation","J1",2892.28,false,"2022-07"
"26700","Treat knuckle dislocation","T",210.5,false,"2022-07"
"26705","Treat knuckle dislocation","J1",1422.51,false,"2022-07"
"26706","Pin knuckle dislocation","J1",2892.28,false,"2022-07"
"26715","Treat knuckle dislocation","J1",2892.28,false,"2022-07"
"26720","Treat finger fracture each","T",210.5,false,"2022-07"
"26725","Treat finger fracture each","T",210.5,false,"2022-07"
"26727","Treat finger fracture each","J1",2892.28,false,"2022-07"
"26735","Treat finger fracture each","J1",2892.28,false,"2022-07"
"26740","Treat finger fracture each","T",210.5,false,"2022-07"
"26742","Treat finger fracture each","J1",1422.51,false,"2022-07"
"26746","Treat finger fracture each","J1",2892.28,false,"2022-07"
"26750","Treat finger fracture each","T",210.5,false,"2022-07"
"26755","Treat finger fracture each","T",210.5,false,"2022-07"
"26756","Pin finger fracture each","J1",2892.28,false,"2022-07"
"26765","Treat finger fracture each","J1",2892.28,false,"2022-07"
"26770","Treat finger dislocation","T",210.5,false,"2022-07"
"26775","Treat finger dislocation","T",246.38,false,"2022-07"
"26776","Pin finger dislocation","J1",2892.28,false,"2022-07"
"26785","Treat finger dislocation","J1",2892.28,false,"2022-07"
"26820","Thumb fusion with graft","J1",6397.05,false,"2022-07"
"26841","Fusion of thumb","J1",6397.05,false,"2022-07"
"26842","Thumb fusion with graft","J1",6397.05,false,"2022-07"
"26843","Fusion of hand joint","J1",6397.05,false,"2022-07"
"26844","Fusion/graft of hand joint","J1",6397.05,false,"2022-07"
"26850","Fusion of knuckle","J1",6397.05,false,"2022-07"
"26852","Fusion of knuckle with graft","J1",6397.05,false,"2022-07"
"26860","Fusion of finger joint","J1",2892.28,false,"2022-07"
"26861","Fusion of finger jnt add-on","N",,false,"2022-07"
"26862","Fusion/graft of finger joint","J1",2892.28,false,"2022-07"
"26863","Fuse/graft added joint","N",,false,"2022-07"
"26910","Amputate metacarpal bone","J1",2892.28,false,"2022-07"
"26951","Amputation of finger/thumb","J1",2892.28,false,"2022-07"
"26952","Amputation of finger/thumb","J1",2892.28,false,"2022-07"
"26989","Hand/finger surgery","T",210.5,false,"2022-07"
"26990","Drainage of pelvis lesion","J1",2892.28,false,"2022-07"
"26991","Drainage of pelvis bursa","J1",1422.51,false,"2022-07"
"26992","Drainage of bone lesion","C",,false,"2022-07"
"27000","Incision of hip tendon","J1",1422.51,false,"2022-07"
"27001","Incision of hip tendon","J1",2892.28,false,"2022-07"
"27003","Incision of hip tendon","J1",6397.05,false,"2022-07"
"27005","Incision of hip tendon","C",,false,"2022-07"
"27006","Incision of hip tendons","J1",2892.28,false,"2022-07"
"27025","Incision of hip/thigh fascia","C",,false,"2022-07"
"27027","Buttock fasciotomy","J1",6397.05,false,"2022-07"
"27030","Drainage of hip joint","C",,false,"2022-07"
